http://wwwi2.ymparisto.fi/i2/95/prev_week_e.txt accessed 2023-05-09
 
 Weekly inflow energy  for Finland
 Week 18
 
   Day    GWh/Week   Obs%
 20230501  483.08   98.44  +
 20230502  507.38   98.44  +
 20230503  551.70   98.44  +
 20230504  576.99   98.44  +
 20230505  584.35   98.44  +
 20230506  585.06   96.88  +
 20230507  560.82   96.88  +
 
 Each value is the inflow energy for last 7 day period.
 The inflow energy for the week 18 is
 560.82  GWh.
 
  
  Inflow energy for Finland (GWh/Week)
  Min, max and median values are for the period 1978-2014
      2023  2022
 mmdd   GWh   GWh  Median  Min    Max
 0101   150   141  145.1   43.6  379.4
 0102   140   145  140.6   41.2  384.8
 0103   134   147  139.6   39.2  383.7
 0104   140   143  137.8   39.2  378.3
 0105   138   148  137.3   39.3  368.9
 0106   128   144  135.3   41.4  358.0
 0107   124   136  134.0   41.0  348.1
 0108   112   131  134.5   39.4  339.6
 0109   117   127  135.5   38.5  334.2
 0110   114   117  135.5   40.1  331.0
 0111   118   118  133.2   45.6  326.5
 0112   131   115  129.9   48.7  320.8
 0113   138   128  127.3   52.3  309.6
 0114   131   133  128.2   53.2  296.1
 0115   151   130  129.6   55.9  280.4
 0116   167   135  129.7   57.8  268.9
 0117   184   142  129.1   59.7  259.9
 0118   191   131  128.5   58.8  255.9
 0119   177   139  129.1   59.3  250.9
 0120   186   126  125.8   60.8  252.3
 0121   189   128  123.6   67.1  253.5
 0122   168   125  120.8   71.4  255.5
 0123   169   124  119.6   76.3  252.2
 0124   166   127  119.9   77.7  248.3
 0125   169   135  121.0   75.6  242.2
 0126   163   120  120.8   70.7  233.4
 0127   150   116  118.7   67.1  220.9
 0128   159   109  116.6   66.5  208.8
 0129   171   122  116.1   63.0  202.4
 0130   168   126  116.3   55.1  202.2
 0131   171   119  112.8   48.2  201.5
 0201   156   116  108.7   45.5  200.1
 0202   159   123  106.3   45.7  198.3
 0203   160   118  108.2   42.2  201.7
 0204   149   121  112.4   39.8  204.5
 0205   147   130  113.8   40.3  203.8
 0206   131   129  116.2   44.5  197.6
 0207   138   127  115.8   49.8  192.3
 0208   129   130  117.5   52.8  188.3
 0209   149   134  115.8   52.5  187.6
 0210   158   145  114.9   52.2  183.4
 0211   155   137  113.3   50.9  182.1
 0212   147   120  113.4   50.0  178.1
 0213   159   118  111.9   50.6  177.1
 0214   130   124  110.1   51.4  170.8
 0215   137   123  108.0   53.2  168.8
 0216   129   132  107.9   49.5  165.7
 0217   117   137  107.2   45.8  164.1
 0218   124   161  106.4   41.5  157.9
 0219   114   167  105.1   40.4  154.9
 0220   114   158  104.4   41.4  156.6
 0221   126   149  102.7   44.2  162.3
