Time (UTC),CapFac Perniö,CapFac Lappeenranta,CapFac Huittinen
1/1/2022 0:00,0,0,0
1/1/2022 1:00,0,0,0
1/1/2022 2:00,0,0,0
1/1/2022 3:00,0,0,0
1/1/2022 4:00,0,0,0
1/1/2022 5:00,0,0,0
1/1/2022 6:00,0,0,0
1/1/2022 7:00,0.00136,0.00684,0
1/1/2022 8:00,0.14219,0.12899,0.08786
1/1/2022 9:00,0.26368,0.22546,0.20023
1/1/2022 10:00,0.2921,0.20601,0.23181
1/1/2022 11:00,0.24537,0.11796,0.1874
1/1/2022 12:00,0.11407,0.02298,0.07037
1/1/2022 13:00,0,0,0
1/1/2022 14:00,0,0,0
1/1/2022 15:00,0,0,0
1/1/2022 16:00,0,0,0
1/1/2022 17:00,0,0,0
1/1/2022 18:00,0,0,0
1/1/2022 19:00,0,0,0
1/1/2022 20:00,0,0,0
1/1/2022 21:00,0,0,0
1/1/2022 22:00,0,0,0
1/1/2022 23:00,0,0,0
1/2/2022 0:00,0,0,0
1/2/2022 1:00,0,0,0
1/2/2022 2:00,0,0,0
1/2/2022 3:00,0,0,0
1/2/2022 4:00,0,0,0
1/2/2022 5:00,0,0,0
1/2/2022 6:00,0,0,0
1/2/2022 7:00,0,0,0
1/2/2022 8:00,0.0049,0.00659,0.0044
1/2/2022 9:00,0.01875,0.01615,0.01801
1/2/2022 10:00,0.02409,0.02736,0.01892
1/2/2022 11:00,0.01473,0.02877,0.01236
1/2/2022 12:00,0.00353,0.00581,0.00235
1/2/2022 13:00,0,0,0
1/2/2022 14:00,0,0,0
1/2/2022 15:00,0,0,0
1/2/2022 16:00,0,0,0
1/2/2022 17:00,0,0,0
1/2/2022 18:00,0,0,0
1/2/2022 19:00,0,0,0
1/2/2022 20:00,0,0,0
1/2/2022 21:00,0,0,0
1/2/2022 22:00,0,0,0
1/2/2022 23:00,0,0,0
1/3/2022 0:00,0,0,0
1/3/2022 1:00,0,0,0
1/3/2022 2:00,0,0,0
1/3/2022 3:00,0,0,0
1/3/2022 4:00,0,0,0
1/3/2022 5:00,0,0,0
1/3/2022 6:00,0,0,0
1/3/2022 7:00,0,0,0
1/3/2022 8:00,0.00131,0.01168,0.00209
1/3/2022 9:00,0.00623,0.02868,0.01216
1/3/2022 10:00,0.00873,0.03227,0.01735
1/3/2022 11:00,0.00474,0.01898,0.01227
1/3/2022 12:00,0,0.00162,0.00229
1/3/2022 13:00,0,0,0
1/3/2022 14:00,0,0,0
1/3/2022 15:00,0,0,0
1/3/2022 16:00,0,0,0
1/3/2022 17:00,0,0,0
1/3/2022 18:00,0,0,0
1/3/2022 19:00,0,0,0
1/3/2022 20:00,0,0,0
1/3/2022 21:00,0,0,0
1/3/2022 22:00,0,0,0
1/3/2022 23:00,0,0,0
1/4/2022 0:00,0,0,0
1/4/2022 1:00,0,0,0
1/4/2022 2:00,0,0,0
1/4/2022 3:00,0,0,0
1/4/2022 4:00,0,0,0
1/4/2022 5:00,0,0,0
1/4/2022 6:00,0,0,0
1/4/2022 7:00,0,0,0
1/4/2022 8:00,0,0.01047,0
1/4/2022 9:00,0.00876,0.02031,0.00184
1/4/2022 10:00,0.04,0.01785,0.00842
1/4/2022 11:00,0.0602,0.00588,0.0133
1/4/2022 12:00,0.04049,0,0.00511
1/4/2022 13:00,0,0,0
