Time (UTC),CapFac Vaasa,CapFac Raahe,CapFac Huittinen
1/1/2022 0:00,0.75897,0.65213,0.39646
1/1/2022 1:00,0.81299,0.65106,0.48594
1/1/2022 2:00,0.80704,0.63323,0.53724
1/1/2022 3:00,0.79203,0.62885,0.64246
1/1/2022 4:00,0.79988,0.63889,0.7094
1/1/2022 5:00,0.79314,0.66407,0.7236
1/1/2022 6:00,0.79987,0.67551,0.7301
1/1/2022 7:00,0.78895,0.66641,0.7175
1/1/2022 8:00,0.77959,0.67087,0.73599
1/1/2022 9:00,0.77041,0.66763,0.61961
1/1/2022 10:00,0.74495,0.64329,0.4686
1/1/2022 11:00,0.72846,0.62885,0.48595
1/1/2022 12:00,0.70442,0.67086,0.54738
1/1/2022 13:00,0.69215,0.74495,0.61032
1/1/2022 14:00,0.6613,0.79597,0.60432
1/1/2022 15:00,0.6047,0.75828,0.5604
1/1/2022 16:00,0.53603,0.76608,0.52235
1/1/2022 17:00,0.4411,0.68557,0.41017
1/1/2022 18:00,0.28704,0.65265,0.25958
1/1/2022 19:00,0.22665,0.58759,0.15966
1/1/2022 20:00,0.21948,0.49708,0.1168
1/1/2022 21:00,0.19805,0.3994,0.09139
1/1/2022 22:00,0.22963,0.25834,0.12632
1/1/2022 23:00,0.28702,0.13384,0.18335
1/2/2022 0:00,0.45407,0.06152,0.21933
1/2/2022 1:00,0.55515,0.02124,0.28776
1/2/2022 2:00,0.5082,0.03178,0.28135
1/2/2022 3:00,0.52874,0.10584,0.30074
1/2/2022 4:00,0.57531,0.20059,0.33998
1/2/2022 5:00,0.63173,0.26975,0.38936
1/2/2022 6:00,0.66845,0.27238,0.4493
1/2/2022 7:00,0.70752,0.29246,0.51565
1/2/2022 8:00,0.74046,0.35124,0.58043
1/2/2022 9:00,0.7492,0.3893,0.62336
1/2/2022 10:00,0.85575,0.40655,0.68028
1/2/2022 11:00,0.83767,0.40733,0.73736
1/2/2022 12:00,0.83813,0.43561,0.74769
1/2/2022 13:00,0.80647,0.46746,0.74496
1/2/2022 14:00,0.78909,0.48912,0.71255
1/2/2022 15:00,0.77049,0.53392,0.6856
1/2/2022 16:00,0.70881,0.67663,0.67642
1/2/2022 17:00,0.66412,0.64597,0.66499
1/2/2022 18:00,0.64926,0.60988,0.60987
1/2/2022 19:00,0.65445,0.73444,0.53947
1/2/2022 20:00,0.60757,0.72632,0.50026
1/2/2022 21:00,0.51261,0.74733,0.47733
1/2/2022 22:00,0.43423,0.73162,0.38155
1/2/2022 23:00,0.39814,0.74526,0.3168
1/3/2022 0:00,0.35008,0.75137,0.278
1/3/2022 1:00,0.32961,0.7704,0.24096
1/3/2022 2:00,0.33004,0.73083,0.23166
1/3/2022 3:00,0.33004,0.69359,0.24329
