Technology,Variable,Hour,Value
Objective,Obj,1,900000.0
Wind Power plant 1,C_G,1,125.0
Wind Power plant 1,Cost,1,900000.0
Wind Power plant 1,G_elec,1,100.0
Wind Power plant 1,G_elec,2,100.0
Wind Power plant 1,G_elec,3,100.0
Wind Power plant 1,G_elec,4,100.0
Wind Power plant 1,G_elec,5,100.0
Wind Power plant 1,G_elec,6,100.0
Wind Power plant 1,G_elec,7,100.0
Wind Power plant 1,G_elec,8,100.0
Wind Power plant 1,G_elec,9,100.0
Wind Power plant 1,G_elec,10,100.0
Wind Power plant 1,G_elec,11,100.0
Wind Power plant 1,G_elec,12,100.0
Wind Power plant 1,G_elec,13,100.0
Wind Power plant 1,G_elec,14,100.0
Wind Power plant 1,G_elec,15,100.0
Wind Power plant 1,G_elec,16,100.0
Wind Power plant 1,G_elec,17,100.0
Wind Power plant 1,G_elec,18,100.0
Wind Power plant 1,G_elec,19,100.0
Wind Power plant 1,G_elec,20,100.0
Wind Power plant 1,G_elec,21,100.0
Wind Power plant 1,G_elec,22,100.0
Wind Power plant 1,G_elec,23,100.0
Wind Power plant 1,G_elec,24,100.0
Wind Power plant 1,G_elec,25,100.0
Wind Power plant 1,G_elec,26,100.0
Wind Power plant 1,G_elec,27,100.0
Wind Power plant 1,G_elec,28,100.0
Wind Power plant 1,G_elec,29,100.0
Wind Power plant 1,G_elec,30,100.0
Wind Power plant 1,G_elec,31,100.0
Wind Power plant 1,G_elec,32,100.0
Wind Power plant 1,G_elec,33,100.0
Wind Power plant 1,G_elec,34,100.0
Wind Power plant 1,G_elec,35,100.0
Wind Power plant 1,G_elec,36,100.0
Wind Power plant 1,G_elec,37,100.0
Wind Power plant 1,G_elec,38,100.0
Wind Power plant 1,G_elec,39,100.0
Wind Power plant 1,G_elec,40,100.0
Wind Power plant 1,G_elec,41,100.0
Wind Power plant 1,G_elec,42,100.0
Wind Power plant 1,G_elec,43,100.0
Wind Power plant 1,G_elec,44,100.0
Wind Power plant 1,G_elec,45,100.0
Wind Power plant 1,G_elec,46,100.0
Wind Power plant 1,G_elec,47,100.0
Wind Power plant 1,G_elec,48,100.0
Wind Power plant 1,G_elec,49,100.0
Wind Power plant 1,G_elec,50,100.0
Wind Power plant 1,G_elec,51,100.0
Wind Power plant 1,G_elec,52,100.0
Wind Power plant 1,G_elec,53,100.0
Wind Power plant 1,G_elec,54,100.0
Wind Power plant 1,G_elec,55,100.0
Wind Power plant 1,G_elec,56,100.0
Wind Power plant 1,G_elec,57,100.0
Wind Power plant 1,G_elec,58,100.0
Wind Power plant 1,G_elec,59,100.0
Wind Power plant 1,G_elec,60,100.0
Wind Power plant 1,G_elec,61,100.0
Wind Power plant 1,G_elec,62,100.0
Wind Power plant 1,G_elec,63,100.0
Wind Power plant 1,G_elec,64,100.0
Wind Power plant 1,G_elec,65,100.0
Wind Power plant 1,G_elec,66,100.0
Wind Power plant 1,G_elec,67,100.0
Wind Power plant 1,G_elec,68,100.0
Wind Power plant 1,G_elec,69,100.0
Wind Power plant 1,G_elec,70,100.0
Wind Power plant 1,G_elec,71,100.0
Wind Power plant 1,G_elec,72,100.0
Wind Power plant 1,G_elec,73,100.0
Wind Power plant 1,G_elec,74,100.0
Wind Power plant 1,G_elec,75,100.0
Wind Power plant 1,G_elec,76,100.0
Wind Power plant 1,G_elec,77,100.0
Wind Power plant 1,G_elec,78,100.0
